n_nodes,alpha,run_id,tau
50,0.5,8,52579
50,0.5,9,51899
50,0.5,10,43751
50,0.5,11,48567
50,0.5,12,49614
50,0.5,13,52501
50,0.5,14,50283
50,0.5,15,48537
50,0.5,16,44429
50,0.5,17,48899
50,0.5,18,52839
50,0.5,19,49313
60,0.0,0,1265233
60,0.0,1,1217591
60,0.0,2,823811
60,0.0,3,1291656
60,0.0,4,1519152
60,0.0,5,1186491
60,0.0,6,1175200
60,0.0,7,1222496
60,0.0,8,1164837
60,0.0,9,1630061
60,0.0,10,1204215
60,0.0,11,1275153
60,0.0,12,1151625
60,0.0,13,1098071
60,0.0,14,1235563
60,0.0,15,929422
60,0.0,16,1218842
60,0.0,17,1477305
60,0.0,18,1223731
60,0.0,19,992232
60,0.2,0,152031
60,0.2,1,130996
60,0.2,2,140615
60,0.2,3,128558
60,0.2,4,140143
60,0.2,5,129444
60,0.2,6,141541
60,0.2,7,122065
60,0.2,8,141061
60,0.2,9,135788
60,0.2,10,124459
60,0.2,11,129324
60,0.2,12,142504
60,0.2,13,131262
60,0.2,14,139114
60,0.2,15,147187
60,0.2,16,133099
60,0.2,17,138520
60,0.2,18,125064
60,0.2,19,138144
60,0.5,0,63509
60,0.5,1,59135
60,0.5,2,60499
60,0.5,3,60379
60,0.5,4,60541
60,0.5,5,62815
60,0.5,6,53927
60,0.5,7,59688
60,0.5,8,64343
60,0.5,9,62013
60,0.5,10,59960
60,0.5,11,58482
60,0.5,12,55960
60,0.5,13,59324
60,0.5,14,54601
60,0.5,15,57361
60,0.5,16,54532
60,0.5,17,60898
60,0.5,18,63474
60,0.5,19,61133
70,0.0,0,2050256
70,0.0,1,1898012
70,0.0,2,1715685
70,0.0,3,1926325
70,0.0,4,2057179
70,0.0,5,1875320
70,0.0,6,1568391
70,0.0,7,1710397
70,0.0,8,1994816
70,0.0,9,1566265
70,0.0,10,1576651
70,0.0,11,1895935
70,0.0,12,1647257
70,0.0,13,1900573
70,0.0,14,1973722
70,0.0,15,1682020
70,0.0,16,1823166
70,0.0,17,1820908
70,0.0,18,1486125
70,0.0,19,1791728
70,0.2,0,187273
70,0.2,1,179784
70,0.2,2,175126
70,0.2,3,177736
70,0.2,4,180135
70,0.2,5,180820
70,0.2,6,171818
70,0.2,7,183739
70,0.2,8,184329
70,0.2,9,192488
70,0.2,10,154542
70,0.2,11,198113
70,0.2,12,194813
70,0.2,13,193493
70,0.2,14,176279
70,0.2,15,182622
70,0.2,16,184056
70,0.2,17,201062
70,0.2,18,193401
70,0.2,19,190905
70,0.5,0,78095
70,0.5,1,72246
70,0.5,2,78057
70,0.5,3,80288
70,0.5,4,71963
70,0.5,5,80007
70,0.5,6,74485
70,0.5,7,76288
70,0.5,8,81075
70,0.5,9,80497
70,0.5,10,74051
70,0.5,11,78778
70,0.5,12,71799
70,0.5,13,84956
70,0.5,14,82465
70,0.5,15,82300
70,0.5,16,82087
70,0.5,17,81128
70,0.5,18,75189
70,0.5,19,84391
80,0.0,0,1884957
80,0.0,1,1984366
80,0.0,2,2166472
80,0.0,3,2093024
80,0.0,4,2686716
80,0.0,5,2019500
80,0.0,6,2290303
80,0.0,7,1968714
80,0.0,8,1889258
80,0.0,9,1680448
80,0.0,10,2459618
80,0.0,11,1989109
80,0.0,12,1704435
80,0.0,13,2232774
80,0.0,14,2452614
80,0.0,15,2394470
80,0.0,16,2092089
80,0.0,17,2163877
80,0.0,18,2231244
80,0.0,19,2120733
80,0.2,0,202817
80,0.2,1,228848
80,0.2,2,198990
80,0.2,3,218445
80,0.2,4,187696
80,0.2,5,217857
80,0.2,6,191311
80,0.2,7,218146
80,0.2,8,200360
80,0.2,9,210443
80,0.2,10,195676
80,0.2,11,202065
80,0.2,12,204951
80,0.2,13,206372
80,0.2,14,208995
80,0.2,15,209936
80,0.2,16,198807
80,0.2,17,224657
80,0.2,18,211336
80,0.2,19,199185
80,0.5,0,88085
80,0.5,1,95353
80,0.5,2,93897
80,0.5,3,90535
80,0.5,4,84207
80,0.5,5,88618
80,0.5,6,89323
80,0.5,7,96378
80,0.5,8,96028
80,0.5,9,91488
80,0.5,10,88342
80,0.5,11,90161
80,0.5,12,90099
80,0.5,13,88219
