param_name,param_value,n_nodes,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,alpha
k,50,20,5193.92,434.14,4303.00,5930.00,5320.00,4948.28,5439.56,12,0.5
k,100,20,11942.25,608.81,11039.00,13014.00,11947.50,11597.78,12286.72,12,0.5
k,200,20,26230.33,1183.19,24510.00,28037.00,26515.00,25560.88,26899.79,12,0.5
k,10,40,1561.67,232.21,1159.00,1964.00,1573.50,1430.28,1693.05,12,0.5
k,20,40,4220.67,586.96,3335.00,5399.00,4200.00,3888.56,4552.77,12,0.5
k,50,40,15136.33,812.08,13655.00,16317.00,15178.00,14676.86,15595.81,12,0.5
k,100,40,35277.17,1709.31,31375.00,36939.00,35738.00,34310.03,36244.30,12,0.5
k,200,40,76021.42,3139.56,67832.00,79333.00,76977.00,74245.04,77797.79,12,0.5
k,10,60,2326.17,423.22,1289.00,2858.00,2432.00,2086.71,2565.63,12,0.5
k,20,60,7471.75,782.83,6294.00,8870.00,7417.50,7028.82,7914.68,12,0.5
k,50,60,26499.50,1449.25,23967.00,28527.00,26756.50,25679.51,27319.49,12,0.5
k,100,60,60440.92,2722.57,53927.00,64343.00,60439.00,58900.48,61981.36,12,0.5
k,200,60,131631.08,4249.02,121370.00,136760.00,132167.00,129226.98,134035.19,12,0.5
k,10,80,3432.75,659.42,2663.00,4904.00,3248.50,3059.65,3805.85,12,0.5
k,20,80,11341.67,1294.22,9530.00,13513.00,11092.50,10609.40,12073.94,12,0.5
k,50,80,37874.58,2340.70,33842.00,40553.00,38333.50,36550.21,39198.96,12,0.5
k,100,80,91034.58,3728.05,84207.00,96378.00,90348.00,88925.24,93143.93,12,0.5
k,200,80,198667.50,4797.02,191309.00,207628.00,198206.00,195953.33,201381.67,12,0.5
k,10,100,5400.92,393.21,4634.00,5844.00,5556.00,5178.43,5623.40,12,0.5
k,20,100,16362.83,1861.14,13229.00,19251.00,16308.00,15309.79,17415.87,12,0.5
k,50,100,59108.00,2775.90,54192.00,62781.00,59562.50,57537.39,60678.61,12,0.5
k,100,100,134902.67,8251.97,116560.00,144899.00,135987.50,130233.68,139571.66,12,0.5
k,200,100,311448.75,9751.59,291953.00,322260.00,314473.50,305931.27,316966.23,12,0.5
k,400,10,832963.42,204203.56,614372.00,1228443.00,758216.50,717424.37,948502.46,12,0.0
k,600,10,2405832.83,615345.90,1580303.00,3627534.00,2248739.50,2057668.12,2753997.55,12,0.0
k,800,10,4116209.08,1417655.50,2641673.00,6908183.00,3875323.00,3314094.98,4918323.19,12,0.0
k,1000,10,5997159.92,1697747.99,3565681.00,7959709.00,6034949.00,5036568.56,6957751.27,12,0.0
k,400,20,2868304.33,735053.82,1916760.00,4505268.00,2858103.50,2452408.48,3284200.18,12,0.0
