param_value,n_nodes,run_id,tau,alpha
10,80,2,20387,0.0
10,80,3,19322,0.0
10,80,4,24346,0.0
10,80,5,14138,0.0
10,80,6,21167,0.0
10,80,7,19880,0.0
10,80,8,19826,0.0
10,80,9,24331,0.0
10,80,10,20095,0.0
10,80,11,19144,0.0
20,80,0,75373,0.0
20,80,1,79656,0.0
20,80,2,73441,0.0
20,80,3,95244,0.0
20,80,4,73743,0.0
20,80,5,66383,0.0
20,80,6,99786,0.0
20,80,7,83355,0.0
20,80,8,61710,0.0
20,80,9,78575,0.0
20,80,10,83100,0.0
20,80,11,84119,0.0
50,80,0,539938,0.0
50,80,1,508353,0.0
50,80,2,517428,0.0
50,80,3,543123,0.0
50,80,4,538962,0.0
50,80,5,531130,0.0
50,80,6,504196,0.0
50,80,7,562836,0.0
50,80,8,554505,0.0
50,80,9,519981,0.0
50,80,10,561046,0.0
50,80,11,504711,0.0
100,80,0,1884957,0.0
100,80,1,1984366,0.0
100,80,2,2166472,0.0
100,80,3,2093024,0.0
100,80,4,2686716,0.0
100,80,5,2019500,0.0
100,80,6,2290303,0.0
100,80,7,1968714,0.0
100,80,8,1889258,0.0
100,80,9,1680448,0.0
100,80,10,2459618,0.0
100,80,11,1989109,0.0
200,80,0,8050924,0.0
200,80,1,9364637,0.0
200,80,2,7015125,0.0
200,80,3,7691247,0.0
200,80,4,8489392,0.0
200,80,5,9883496,0.0
200,80,6,9803353,0.0
200,80,7,8889799,0.0
200,80,8,6215906,0.0
200,80,9,7596910,0.0
200,80,10,5426390,0.0
200,80,11,7596954,0.0
10,100,0,29415,0.0
10,100,1,32523,0.0
10,100,2,22311,0.0
10,100,3,29029,0.0
10,100,4,26715,0.0
10,100,5,20029,0.0
10,100,6,22003,0.0
10,100,7,18469,0.0
10,100,8,26529,0.0
10,100,9,27164,0.0
10,100,10,24497,0.0
10,100,11,24285,0.0
20,100,0,111152,0.0
20,100,1,131227,0.0
20,100,2,136666,0.0
20,100,3,121267,0.0
20,100,4,120688,0.0
20,100,5,86839,0.0
20,100,6,111196,0.0
20,100,7,131776,0.0
20,100,8,121992,0.0
20,100,9,101359,0.0
20,100,10,137078,0.0
20,100,11,120845,0.0
50,100,0,805993,0.0
50,100,1,798331,0.0
50,100,2,890954,0.0
50,100,3,674381,0.0
50,100,4,687013,0.0
50,100,5,687816,0.0
50,100,6,870523,0.0
50,100,7,932565,0.0
50,100,8,818096,0.0
50,100,9,863156,0.0
50,100,10,891566,0.0
50,100,11,837528,0.0
100,100,0,2933367,0.0
100,100,1,3382093,0.0
100,100,2,3776140,0.0
100,100,3,2374231,0.0
100,100,4,3092840,0.0
100,100,5,3489426,0.0
100,100,6,3297602,0.0
100,100,7,3455728,0.0
100,100,8,3867109,0.0
100,100,9,3102849,0.0
100,100,10,2931017,0.0
100,100,11,3146622,0.0
200,100,0,13403288,0.0
200,100,1,15789516,0.0
200,100,2,12344987,0.0
200,100,3,11218135,0.0
200,100,4,13654579,0.0
200,100,5,10494844,0.0
200,100,6,13202279,0.0
200,100,7,15166097,0.0
200,100,8,10948368,0.0
200,100,9,12083030,0.0
200,100,10,10308413,0.0
200,100,11,15988749,0.0
10,10,0,482,0.25
10,10,1,339,0.25
10,10,2,516,0.25
10,10,3,318,0.25
10,10,4,347,0.25
10,10,5,520,0.25
10,10,6,380,0.25
10,10,7,423,0.25
10,10,8,174,0.25
10,10,9,333,0.25
10,10,10,546,0.25
10,10,11,344,0.25
20,10,0,1169,0.25
20,10,1,1344,0.25
20,10,2,937,0.25
20,10,3,720,0.25
20,10,4,1040,0.25
20,10,5,1232,0.25
20,10,6,892,0.25
20,10,7,873,0.25
20,10,8,800,0.25
20,10,9,822,0.25
20,10,10,910,0.25
20,10,11,927,0.25
50,10,0,3639,0.25
50,10,1,3904,0.25
50,10,2,3870,0.25
50,10,3,3476,0.25
50,10,4,3815,0.25
50,10,5,3800,0.25
50,10,6,4290,0.25
50,10,7,3982,0.25
50,10,8,3104,0.25
50,10,9,3014,0.25
50,10,10,3699,0.25
50,10,11,3746,0.25
100,10,0,8851,0.25
100,10,1,9035,0.25
100,10,2,8920,0.25
100,10,3,10212,0.25
100,10,4,8300,0.25
100,10,5,8160,0.25
100,10,6,8830,0.25
100,10,7,8625,0.25
100,10,8,9688,0.25
100,10,9,6655,0.25
100,10,10,7950,0.25
100,10,11,7978,0.25
200,10,0,18535,0.25
200,10,1,21107,0.25
200,10,2,18289,0.25
200,10,3,20887,0.25
200,10,4,19027,0.25
200,10,5,16886,0.25
200,10,6,19091,0.25
200,10,7,20558,0.25
200,10,8,20668,0.25
200,10,9,17404,0.25
200,10,10,18793,0.25
200,10,11,19571,0.25
10,20,0,818,0.25
10,20,1,425,0.25
10,20,2,675,0.25
10,20,3,689,0.25
10,20,4,624,0.25
10,20,5,1227,0.25
10,20,6,855,0.25
10,20,7,1270,0.25
10,20,8,793,0.25
10,20,9,1219,0.25
10,20,10,1213,0.25
10,20,11,1355,0.25
20,20,0,3196,0.25
20,20,1,2608,0.25
20,20,2,2873,0.25
20,20,3,2231,0.25
20,20,4,3251,0.25
20,20,5,3480,0.25
20,20,6,2991,0.25
20,20,7,3620,0.25
20,20,8,3469,0.25
20,20,9,2304,0.25
20,20,10,2840,0.25
20,20,11,2621,0.25
50,20,0,10839,0.25
50,20,1,8880,0.25
50,20,2,10665,0.25
50,20,3,8312,0.25
50,20,4,9975,0.25
50,20,5,8874,0.25
50,20,6,8674,0.25
50,20,7,8755,0.25
50,20,8,9579,0.25
50,20,9,9625,0.25
50,20,10,8710,0.25
50,20,11,9830,0.25
100,20,0,23327,0.25
100,20,1,22323,0.25
100,20,2,24298,0.25
100,20,3,19472,0.25
100,20,4,22836,0.25
100,20,5,22515,0.25
100,20,6,20465,0.25
100,20,7,21756,0.25
100,20,8,23595,0.25
100,20,9,23594,0.25
100,20,10,22960,0.25
100,20,11,23826,0.25
200,20,0,50606,0.25
200,20,1,52753,0.25
200,20,2,52998,0.25
200,20,3,44359,0.25
200,20,4,46979,0.25
200,20,5,50008,0.25
200,20,6,51956,0.25
200,20,7,49390,0.25
200,20,8,51744,0.25
200,20,9,51789,0.25
200,20,10,50110,0.25
200,20,11,50479,0.25
10,40,0,2438,0.25
10,40,1,2767,0.25
10,40,2,2917,0.25
10,40,3,2881,0.25
10,40,4,3426,0.25
10,40,5,3446,0.25
10,40,6,2857,0.25
10,40,7,2954,0.25
10,40,8,3205,0.25
10,40,9,2343,0.25
10,40,10,2512,0.25
10,40,11,2976,0.25
20,40,0,8835,0.25
20,40,1,7076,0.25
20,40,2,8576,0.25
20,40,3,8622,0.25
20,40,4,9889,0.25
20,40,5,8715,0.25
20,40,6,7787,0.25
20,40,7,8632,0.25
20,40,8,7207,0.25
20,40,9,7825,0.25
20,40,10,8473,0.25
20,40,11,7922,0.25
50,40,0,28059,0.25
50,40,1,27890,0.25
50,40,2,29208,0.25
50,40,3,27372,0.25
50,40,4,29943,0.25
50,40,5,28896,0.25
50,40,6,29092,0.25
50,40,7,30686,0.25
50,40,8,26060,0.25
50,40,9,29783,0.25
50,40,10,27607,0.25
50,40,11,28086,0.25
100,40,0,58550,0.25
100,40,1,60539,0.25
100,40,2,63107,0.25
100,40,3,66137,0.25
100,40,4,67471,0.25
100,40,5,66477,0.25
100,40,6,67370,0.25
100,40,7,68952,0.25
100,40,8,67012,0.25
100,40,9,66288,0.25
100,40,10,64789,0.25
100,40,11,64033,0.25
200,40,0,145957,0.25
200,40,1,143050,0.25
200,40,2,141196,0.25
200,40,3,157507,0.25
200,40,4,145031,0.25
200,40,5,138621,0.25
200,40,6,148437,0.25
200,40,7,146029,0.25
200,40,8,151928,0.25
200,40,9,131416,0.25
200,40,10,146496,0.25
200,40,11,147247,0.25
10,60,0,5142,0.25
10,60,1,4727,0.25
10,60,2,3398,0.25
10,60,3,4519,0.25
10,60,4,5167,0.25
10,60,5,3684,0.25
10,60,6,3825,0.25
10,60,7,4278,0.25
10,60,8,5003,0.25
10,60,9,3898,0.25
10,60,10,5106,0.25
10,60,11,4985,0.25
20,60,0,14188,0.25
20,60,1,11497,0.25
20,60,2,14299,0.25
20,60,3,14060,0.25
20,60,4,12694,0.25
20,60,5,14527,0.25
20,60,6,13490,0.25
20,60,7,11893,0.25
20,60,8,13702,0.25
20,60,9,13758,0.25
20,60,10,14304,0.25
20,60,11,14227,0.25
50,60,0,51202,0.25
50,60,1,40752,0.25
50,60,2,53674,0.25
50,60,3,46956,0.25
50,60,4,48906,0.25
50,60,5,53160,0.25
50,60,6,48805,0.25
50,60,7,45236,0.25
50,60,8,51259,0.25
50,60,9,51000,0.25
50,60,10,45333,0.25
50,60,11,51089,0.25
100,60,0,122879,0.25
100,60,1,103565,0.25
100,60,2,118041,0.25
100,60,3,112432,0.25
100,60,4,99070,0.25
100,60,5,110958,0.25
100,60,6,108960,0.25
100,60,7,106620,0.25
100,60,8,111715,0.25
100,60,9,114680,0.25
100,60,10,113185,0.25
100,60,11,104777,0.25
200,60,0,259378,0.25
200,60,1,248905,0.25
200,60,2,251337,0.25
200,60,3,250801,0.25
200,60,4,265974,0.25
200,60,5,258067,0.25
200,60,6,271283,0.25
200,60,7,268372,0.25
200,60,8,247727,0.25
200,60,9,255775,0.25
200,60,10,261731,0.25
200,60,11,239892,0.25
10,80,0,5200,0.25
10,80,1,6248,0.25
10,80,2,6136,0.25
10,80,3,5834,0.25
10,80,4,6722,0.25
10,80,5,8056,0.25
10,80,6,6311,0.25
10,80,7,4210,0.25
10,80,8,5829,0.25
10,80,9,4634,0.25
10,80,10,7037,0.25
10,80,11,5552,0.25
20,80,0,21328,0.25
20,80,1,22843,0.25
20,80,2,24257,0.25
20,80,3,22538,0.25
20,80,4,22464,0.25
20,80,5,23379,0.25
20,80,6,18041,0.25
20,80,7,21627,0.25
20,80,8,20379,0.25
20,80,9,19640,0.25
20,80,10,19741,0.25
20,80,11,23039,0.25
50,80,0,64153,0.25
50,80,1,69066,0.25
50,80,2,70661,0.25
50,80,3,71404,0.25
50,80,4,68758,0.25
50,80,5,60222,0.25
50,80,6,75613,0.25
50,80,7,74095,0.25
50,80,8,69118,0.25
50,80,9,69590,0.25
50,80,10,72137,0.25
50,80,11,74540,0.25
100,80,0,168676,0.25
100,80,1,177988,0.25
100,80,2,175546,0.25
100,80,3,174314,0.25
100,80,4,158107,0.25
100,80,5,169979,0.25
100,80,6,167470,0.25
100,80,7,170902,0.25
100,80,8,173808,0.25
100,80,9,174477,0.25
100,80,10,166670,0.25
100,80,11,181314,0.25
200,80,0,393889,0.25
200,80,1,394542,0.25
200,80,2,384854,0.25
200,80,3,383383,0.25
200,80,4,368540,0.25
200,80,5,389438,0.25
200,80,6,381874,0.25
200,80,7,393380,0.25
200,80,8,392004,0.25
200,80,9,372951,0.25
200,80,10,372738,0.25
200,80,11,397745,0.25
10,100,0,11709,0.25
10,100,1,6052,0.25
10,100,2,11342,0.25
10,100,3,11152,0.25
10,100,4,8279,0.25
10,100,5,11596,0.25
10,100,6,7879,0.25
10,100,7,11255,0.25
10,100,8,8893,0.25
10,100,9,9314,0.25
10,100,10,10039,0.25
10,100,11,8424,0.25
20,100,0,24978,0.25
20,100,1,28139,0.25
20,100,2,31439,0.25
20,100,3,28109,0.25
20,100,4,29234,0.25
20,100,5,34719,0.25
20,100,6,24447,0.25
20,100,7,29662,0.25
20,100,8,24144,0.25
20,100,9,26164,0.25
20,100,10,30137,0.25
20,100,11,30193,0.25
50,100,0,109966,0.25
50,100,1,106013,0.25
50,100,2,110755,0.25
50,100,3,106899,0.25
50,100,4,95941,0.25
50,100,5,114017,0.25
50,100,6,108402,0.25
50,100,7,108449,0.25
50,100,8,108544,0.25
50,100,9,108263,0.25
50,100,10,114529,0.25
50,100,11,106760,0.25
100,100,0,245442,0.25
100,100,1,272299,0.25
100,100,2,272188,0.25
100,100,3,253952,0.25
100,100,4,263484,0.25
100,100,5,268847,0.25
100,100,6,266902,0.25
100,100,7,255756,0.25
100,100,8,253693,0.25
100,100,9,226896,0.25
100,100,10,264458,0.25
100,100,11,257197,0.25
200,100,0,578099,0.25
200,100,1,624943,0.25
200,100,2,618463,0.25
200,100,3,590570,0.25
200,100,4,624369,0.25
200,100,5,609683,0.25
200,100,6,606065,0.25
200,100,7,598321,0.25
200,100,8,579743,0.25
200,100,9,603524,0.25
200,100,10,592556,0.25
200,100,11,592663,0.25
10,10,0,213,0.5
10,10,1,212,0.5
10,10,2,287,0.5
10,10,3,208,0.5
10,10,4,228,0.5
10,10,5,206,0.5
10,10,6,306,0.5
10,10,7,212,0.5
10,10,8,180,0.5
10,10,9,245,0.5
10,10,10,364,0.5
10,10,11,248,0.5
20,10,0,551,0.5
20,10,1,801,0.5
20,10,2,548,0.5
20,10,3,461,0.5
20,10,4,597,0.5
20,10,5,780,0.5
20,10,6,551,0.5
20,10,7,517,0.5
20,10,8,536,0.5
20,10,9,850,0.5
20,10,10,682,0.5
20,10,11,810,0.5
50,10,0,2304,0.5
50,10,1,2146,0.5
50,10,2,2190,0.5
50,10,3,1916,0.5
50,10,4,1768,0.5
50,10,5,2510,0.5
50,10,6,2001,0.5
50,10,7,2142,0.5
50,10,8,2036,0.5
50,10,9,1996,0.5
50,10,10,2000,0.5
50,10,11,1848,0.5
100,10,0,4309,0.5
100,10,1,4415,0.5
100,10,2,4910,0.5
100,10,3,4728,0.5
100,10,4,4490,0.5
100,10,5,5031,0.5
100,10,6,4854,0.5
100,10,7,5139,0.5
100,10,8,4784,0.5
100,10,9,4094,0.5
100,10,10,4373,0.5
100,10,11,4460,0.5
200,10,0,9607,0.5
200,10,1,10809,0.5
200,10,2,10263,0.5
200,10,3,10231,0.5
200,10,4,10283,0.5
200,10,5,10458,0.5
200,10,6,9896,0.5
200,10,7,10227,0.5
200,10,8,10368,0.5
200,10,9,10202,0.5
200,10,10,10383,0.5
200,10,11,9958,0.5
10,20,0,656,0.5
10,20,1,662,0.5
10,20,2,602,0.5
10,20,3,574,0.5
10,20,4,577,0.5
10,20,5,742,0.5
10,20,6,750,0.5
10,20,7,698,0.5
10,20,8,363,0.5
10,20,9,420,0.5
10,20,10,561,0.5
10,20,11,432,0.5
20,20,0,1484,0.5
20,20,1,1786,0.5
20,20,2,1852,0.5
20,20,3,1632,0.5
20,20,4,1766,0.5
20,20,5,1520,0.5
20,20,6,1682,0.5
20,20,7,1965,0.5
20,20,8,1325,0.5
20,20,9,1673,0.5
20,20,10,1736,0.5
20,20,11,1326,0.5
50,20,0,4829,0.5
50,20,1,5151,0.5
50,20,2,4681,0.5
50,20,3,5402,0.5
50,20,4,4303,0.5
50,20,5,5351,0.5
50,20,6,5346,0.5
50,20,7,5930,0.5
50,20,8,5459,0.5
50,20,9,5294,0.5
50,20,10,5564,0.5
50,20,11,5017,0.5
100,20,0,13014,0.5
100,20,1,11774,0.5
100,20,2,12302,0.5
100,20,3,11711,0.5
100,20,4,12121,0.5
100,20,5,11482,0.5
100,20,6,11224,0.5
100,20,7,11319,0.5
100,20,8,12401,0.5
100,20,9,11039,0.5
100,20,10,12402,0.5
100,20,11,12518,0.5
200,20,0,26687,0.5
200,20,1,25665,0.5
200,20,2,24567,0.5
200,20,3,27109,0.5
200,20,4,25432,0.5
200,20,5,26730,0.5
200,20,6,24953,0.5
200,20,7,27380,0.5
200,20,8,26343,0.5
200,20,9,27351,0.5
200,20,10,24510,0.5
200,20,11,28037,0.5
10,40,0,1964,0.5
10,40,1,1577,0.5
10,40,2,1794,0.5
10,40,3,1159,0.5
10,40,4,1344,0.5
10,40,5,1287,0.5
10,40,6,1658,0.5
10,40,7,1587,0.5
10,40,8,1458,0.5
10,40,9,1517,0.5
10,40,10,1825,0.5
10,40,11,1570,0.5
20,40,0,4167,0.5
20,40,1,4967,0.5
20,40,2,4179,0.5
20,40,3,5399,0.5
20,40,4,4531,0.5
20,40,5,4286,0.5
20,40,6,3923,0.5
20,40,7,4462,0.5
20,40,8,3519,0.5
20,40,9,4221,0.5
20,40,10,3335,0.5
20,40,11,3659,0.5
50,40,0,15599,0.5
50,40,1,16317,0.5
50,40,2,15153,0.5
50,40,3,16087,0.5
50,40,4,14309,0.5
50,40,5,15835,0.5
50,40,6,13655,0.5
50,40,7,15203,0.5
50,40,8,15695,0.5
50,40,9,14533,0.5
50,40,10,14918,0.5
50,40,11,14332,0.5
100,40,0,35802,0.5
100,40,1,35674,0.5
100,40,2,31375,0.5
100,40,3,36939,0.5
100,40,4,34689,0.5
100,40,5,36713,0.5
100,40,6,36391,0.5
100,40,7,35468,0.5
100,40,8,33585,0.5
100,40,9,36658,0.5
100,40,10,33415,0.5
100,40,11,36617,0.5
200,40,0,78048,0.5
200,40,1,73616,0.5
200,40,2,67832,0.5
200,40,3,77508,0.5
200,40,4,76188,0.5
200,40,5,75260,0.5
200,40,6,77697,0.5
200,40,7,79333,0.5
200,40,8,73916,0.5
200,40,9,77610,0.5
200,40,10,76446,0.5
200,40,11,78803,0.5
10,60,0,2276,0.5
10,60,1,2858,0.5
10,60,2,2056,0.5
10,60,3,2587,0.5
10,60,4,1890,0.5
10,60,5,2275,0.5
10,60,6,2381,0.5
10,60,7,1289,0.5
10,60,8,2541,0.5
10,60,9,2483,0.5
10,60,10,2693,0.5
10,60,11,2585,0.5
20,60,0,8303,0.5
20,60,1,8042,0.5
20,60,2,7509,0.5
20,60,3,6806,0.5
20,60,4,7326,0.5
20,60,5,8138,0.5
20,60,6,6294,0.5
20,60,7,6533,0.5
20,60,8,8870,0.5
20,60,9,7074,0.5
20,60,10,7840,0.5
20,60,11,6926,0.5
50,60,0,27548,0.5
50,60,1,23967,0.5
50,60,2,27123,0.5
50,60,3,26694,0.5
50,60,4,25963,0.5
50,60,5,25482,0.5
50,60,6,24197,0.5
50,60,7,25874,0.5
50,60,8,27821,0.5
50,60,9,27979,0.5
50,60,10,26819,0.5
50,60,11,28527,0.5
100,60,0,63509,0.5
100,60,1,59135,0.5
100,60,2,60499,0.5
100,60,3,60379,0.5
100,60,4,60541,0.5
100,60,5,62815,0.5
100,60,6,53927,0.5
100,60,7,59688,0.5
100,60,8,64343,0.5
100,60,9,62013,0.5
100,60,10,59960,0.5
100,60,11,58482,0.5
200,60,0,136760,0.5
200,60,1,131153,0.5
200,60,2,132830,0.5
200,60,3,134130,0.5
200,60,4,129243,0.5
200,60,5,133624,0.5
200,60,6,135754,0.5
200,60,7,130305,0.5
200,60,8,131504,0.5
200,60,9,127540,0.5
200,60,10,121370,0.5
200,60,11,135360,0.5
10,80,0,4904,0.5
10,80,1,3468,0.5
10,80,2,2663,0.5
10,80,3,4434,0.5
10,80,4,3609,0.5
10,80,5,2997,0.5
10,80,6,2875,0.5
10,80,7,2934,0.5
10,80,8,3692,0.5
10,80,9,3183,0.5
10,80,10,3120,0.5
10,80,11,3314,0.5
20,80,0,11918,0.5
20,80,1,11718,0.5
20,80,2,13513,0.5
20,80,3,12359,0.5
20,80,4,13439,0.5
20,80,5,9530,0.5
20,80,6,9916,0.5
20,80,7,11194,0.5
20,80,8,10504,0.5
20,80,9,10991,0.5
20,80,10,10152,0.5
20,80,11,10866,0.5
50,80,0,39432,0.5
50,80,1,40422,0.5
50,80,2,40445,0.5
50,80,3,39215,0.5
50,80,4,39392,0.5
50,80,5,36679,0.5
50,80,6,35639,0.5
50,80,7,36503,0.5
50,80,8,37452,0.5
50,80,9,34921,0.5
50,80,10,33842,0.5
50,80,11,40553,0.5
100,80,0,88085,0.5
100,80,1,95353,0.5
100,80,2,93897,0.5
100,80,3,90535,0.5
100,80,4,84207,0.5
100,80,5,88618,0.5
100,80,6,89323,0.5
100,80,7,96378,0.5
100,80,8,96028,0.5
100,80,9,91488,0.5
100,80,10,88342,0.5
100,80,11,90161,0.5
200,80,0,198454,0.5
200,80,1,205492,0.5
200,80,2,194913,0.5
200,80,3,207628,0.5
200,80,4,191309,0.5
200,80,5,201161,0.5
200,80,6,193427,0.5
200,80,7,195277,0.5
200,80,8,201148,0.5
200,80,9,200373,0.5
200,80,10,196870,0.5
200,80,11,197958,0.5
10,100,0,4937,0.5
10,100,1,5734,0.5
10,100,2,5254,0.5
10,100,3,5572,0.5
10,100,4,5821,0.5
10,100,5,5844,0.5
10,100,6,5558,0.5
10,100,7,5692,0.5
10,100,8,5272,0.5
10,100,9,4634,0.5
10,100,10,4939,0.5
10,100,11,5554,0.5
20,100,0,16191,0.5
20,100,1,15190,0.5
20,100,2,15674,0.5
20,100,3,17144,0.5
20,100,4,16903,0.5
20,100,5,16129,0.5
20,100,6,18991,0.5
20,100,7,19251,0.5
20,100,8,16425,0.5
20,100,9,13229,0.5
20,100,10,17743,0.5
20,100,11,13484,0.5
50,100,0,60477,0.5
50,100,1,58825,0.5
50,100,2,61022,0.5
50,100,3,54192,0.5
50,100,4,62099,0.5
50,100,5,58997,0.5
50,100,6,57892,0.5
50,100,7,61577,0.5
50,100,8,62781,0.5
50,100,9,55792,0.5
50,100,10,60128,0.5
50,100,11,55514,0.5
100,100,0,123899,0.5
100,100,1,132572,0.5
100,100,2,142154,0.5
100,100,3,138284,0.5
100,100,4,136711,0.5
100,100,5,138483,0.5
100,100,6,134808,0.5
100,100,7,135264,0.5
100,100,8,144899,0.5
100,100,9,144358,0.5
100,100,10,130840,0.5
100,100,11,116560,0.5
200,100,0,291953,0.5
200,100,1,315616,0.5
200,100,2,317511,0.5
200,100,3,322260,0.5
