param_value,n_nodes,run_id,tau
0.55,40,1,13696
0.55,40,2,13451
0.55,40,3,12683
0.55,40,4,13249
0.55,40,5,14231
0.55,40,6,13128
0.55,40,7,14149
0.55,40,8,14706
0.55,40,9,13670
0.55,40,10,13679
0.55,40,11,14053
0.6,40,0,12545
0.6,40,1,13729
0.6,40,2,13162
0.6,40,3,12279
0.6,40,4,12379
0.6,40,5,13158
0.6,40,6,12446
0.6,40,7,13258
0.6,40,8,13227
0.6,40,9,12908
0.6,40,10,11495
0.6,40,11,13115
0.0,80,0,539938
0.0,80,1,508353
0.0,80,2,517428
0.0,80,3,543123
0.0,80,4,538962
0.0,80,5,531130
0.0,80,6,504196
0.0,80,7,562836
0.0,80,8,554505
0.0,80,9,519981
0.0,80,10,561046
0.0,80,11,504711
0.05,80,0,224259
0.05,80,1,262919
0.05,80,2,247566
0.05,80,3,242405
0.05,80,4,254234
0.05,80,5,258958
0.05,80,6,224014
0.05,80,7,268989
0.05,80,8,278517
0.05,80,9,268765
0.05,80,10,250161
0.05,80,11,265807
0.1,80,0,168660
0.1,80,1,141817
0.1,80,2,147764
0.1,80,3,162917
0.1,80,4,162549
0.1,80,5,128327
0.1,80,6,151017
0.1,80,7,158863
0.1,80,8,149789
0.1,80,9,153326
0.1,80,10,149090
0.1,80,11,165558
0.15,80,0,98961
0.15,80,1,103140
0.15,80,2,112698
0.15,80,3,113113
0.15,80,4,116932
0.15,80,5,95856
0.15,80,6,100268
0.15,80,7,127738
0.15,80,8,108581
0.15,80,9,114351
0.15,80,10,105921
0.15,80,11,104363
0.2,80,0,85725
0.2,80,1,82990
0.2,80,2,80886
0.2,80,3,83763
0.2,80,4,86862
0.2,80,5,78529
0.2,80,6,86091
0.2,80,7,98194
0.2,80,8,89485
0.2,80,9,83586
0.2,80,10,88247
0.2,80,11,83005
0.25,80,0,64153
0.25,80,1,69066
0.25,80,2,70661
0.25,80,3,71404
0.25,80,4,68758
0.25,80,5,60222
0.25,80,6,75613
0.25,80,7,74095
0.25,80,8,69118
0.25,80,9,69590
0.25,80,10,72137
0.25,80,11,74540
0.3,80,0,56301
0.3,80,1,62172
0.3,80,2,64385
0.3,80,3,64342
0.3,80,4,67814
0.3,80,5,54693
0.3,80,6,65886
